,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper
238,Edouard Mendy_2020_Rennes,Ligue 1,0.79,79.7,37.5,0.11,45.9,9.9,0.92
239,Pau Lopez_2020_Roma,Serie A,1.41,72,15.6,-0.02,45.1,2.4,1.38
240,Etrit Berisha_2020_SPAL,Serie A,1.69,74.1,11.5,0.13,42.2,2.9,0.81
241,Karlo Letica_2020_SPAL,Serie A,2.9,55.4,0,-0.91,35.5,3,0.3
242,Stephane Ruffier_2020_Saint-Etienne,Ligue 1,1.82,63,13.6,-0.31,35.5,3.6,0.68
243,Emil Audero_2020_Sampdoria,Serie A,1.67,67.9,25,-0.23,36,2.7,0.89
244,Andrea Consigli_2020_Sassuolo,Serie A,1.77,66.9,16.1,-0.23,33.6,4.4,0.97
245,Alexander Nubel_2020_Schalke 04,Bundesliga,1.56,69.5,19.2,-0.09,33.5,6.5,0.89
246,Markus Schubert_2020_Schalke 04,Bundesliga,2.18,70.9,25,0.06,28.4,4,0.97
247,Yassine Bounou_2020_Sevilla,La Liga,0.55,90,80,0.31,45.3,1.4,0.18
248,Tomas Vaclik_2020_Sevilla,La Liga,0.95,69.8,36.4,-0.08,38.7,4.4,0.86
249,Dean Henderson_2020_Sheffield Utd,Premier League,0.92,75,36.1,0.17,31.2,3.6,0.64
250,Angus Gunn_2020_Southampton,Premier League,2.5,58.2,20,-0.75,21.3,2.9,1.2
251,Alex McCarthy_2020_Southampton,Premier League,1.25,69.9,25,0.11,36.2,5.7,0.96
252,Matz Sels_2020_Strasbourg,Ligue 1,1.19,75,29.6,0.05,43.4,5.1,0.33
253,Salvatore Sirigu_2020_Torino,Serie A,1.78,72.1,19.4,-0.05,46.5,3.7,0.5
254,Paulo Gazzaniga_2020_Tottenham,Premier League,1.45,72,11.8,-0.13,26.7,2.7,0.89
255,Hugo Lloris_2020_Tottenham,Premier League,1.05,80.8,28.6,0.52,41.7,5.1,0.4
256,Baptiste Reynet_2020_Toulouse,Ligue 1,2.17,61,9.1,-0.49,39.1,2.5,1.02
257,Juan Musso_2020_Udinese,Serie A,1.34,77.8,36.8,0.03,43.7,4.3,0.53
258,Rafal Gikiewicz_2020_Union Berlin,Bundesliga,1.64,67.9,24.2,-0.12,45.4,6.2,1.12
259,Jasper Cillessen_2020_Valencia,La Liga,1.29,78,20.8,0.01,31.7,1.6,0.56
260,Jaume Domenech_2020_Valencia,La Liga,1.56,72.8,21.4,-0.13,40.8,2.6,0.41
261,Jordi Masip_2020_Valladolid,La Liga,1.11,73.6,31.4,0.13,33.5,2.2,0.43
262,Sergio Asenjo_2020_Villarreal,La Liga,1.21,75.2,32.4,-0.04,32.7,2.8,0.79
263,Ben Foster_2020_Watford,Premier League,1.68,68.5,23.7,0.04,32.7,5.2,1.45
264,Jiri Pavlenka_2020_Werder Bremen,Bundesliga,2.03,60.9,12.1,-0.44,40.4,2,0.91
265,Lukasz Fabianski_2020_West Ham,Premier League,1.45,70.2,20,0,41.5,2.9,0.34
266,Roberto_2020_West Ham,Premier League,2.23,68.6,0,0.25,29.1,0,1.31
267,Koen Casteels_2020_Wolfsburg,Bundesliga,1.46,67.6,19.2,-0.14,44.5,5.1,1.31
268,Pavao Pervan_2020_Wolfsburg,Bundesliga,1,81.1,37.5,0.42,40,2.9,1.5
269,Rui Patricio_2020_Wolves,Premier League,1.05,69.8,34.2,-0.09,47.3,3.8,0.29
270,Fernando Pacheco_2021_Alaves,La Liga,1.53,61.7,24.3,-0.16,50.7,3.4,0.99
271,Paul Bernardoni_2021_Angers,Ligue 1,1.53,63.3,23.7,-0.09,31.4,3.7,0.45
272,Stefan Ortega_2021_Arminia,Bundesliga,1.53,72.4,32.4,0.09,46.5,3.2,1.29
273,Bernd Leno_2021_Arsenal,Premier League,1.06,69.2,31.4,-0.02,26.6,3.7,0.95
274,Emiliano Martinez_2021_Aston Villa,Premier League,1.21,78,39.5,0.11,38.7,6.9,0.89
275,Pierluigi Gollini_2021_Atalanta,Serie A,1.09,66.2,36,0,39.7,2.6,1.63
276,Marco Sportiello_2021_Atalanta,Serie A,1.5,57.4,15.4,-0.26,44,5.6,1.93
277,Unai Simon_2021_Athletic Club,La Liga,1.08,67.6,24.3,-0.08,41.9,4.5,0.92
