"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
"79","Marc-Aurèle Caillard_2019",2019,"Guingamp","Ligue 1","Marc-Aurèle Caillard","FRA","GK","24",1994,21,34,1,1,3,0,30.9,0.31,-3.1,-0.15,154,380,40.5,369,61,60.7,44.2,173,90.2,59.3,275,15,5.5,4,0.19,9.3,"https://fbref.com/en/players/5ee6e943/Marc-Aurele-Caillard"
"80","Karl-Johan Johnsson_2019",2019,"Guingamp","Ligue 1","Karl-Johan Johnsson","SWE","GK","28",1990,17,34,2,1,1,0,25.1,0.29,-8.9,-0.52,151,344,43.9,360,62,62.5,44.4,131,90.8,60.4,208,11,5.3,7,0.41,11.8,"https://fbref.com/en/players/a56bd2ee/Karl-Johan-Johnsson"
"81","Michael Esser_2019",2019,"Hannover 96","Bundesliga","Michael Esser","GER","GK","30",1987,32,66,5,1,10,1,60.8,0.26,-4.2,-0.13,299,609,49.1,943,144,46.2,36.9,295,58.6,43.3,551,24,4.4,38,1.19,14.6,"https://fbref.com/en/players/83e0eeb4/Michael-Esser"
"82","Samuel Şahin-Radlinger_2019",2019,"Hannover 96","Bundesliga","Samuel Şahin-Radlinger","AUT","GK","25",1992,1,2,0,0,0,0,1.3,0.36,-0.7,-0.66,9,15,60,18,3,44.4,38.3,8,87.5,58,8,1,12.5,4,4,20.7,"https://fbref.com/en/players/e385200c/Samuel-Sahin-Radlinger"
"83","Philipp Tschauner_2019",2019,"Hannover 96","Bundesliga","Philipp Tschauner","GER","GK","32",1985,1,3,1,0,0,0,3,0.33,0,-0.04,2,9,22.2,21,3,33.3,32,7,28.6,29.3,10,1,10,0,0,3,"https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner"
"84","Rune Jarstein_2019",2019,"Hertha BSC","Bundesliga","Rune Jarstein","NOR","GK","33",1984,30.5,48,2,1,6,2,45.3,0.3,-0.7,-0.02,329,755,43.6,874,97,58.1,40.8,279,88.5,57.7,496,31,6.3,29,0.95,14.2,"https://fbref.com/en/players/27d2618c/Rune-Jarstein"
"85","Thomas Kraft_2019",2019,"Hertha BSC","Bundesliga","Thomas Kraft","GER","GK","30",1988,3.5,9,2,0,0,0,6.8,0.32,-2.2,-0.62,40,81,49.4,93,7,58.1,38.8,30,90,56.1,40,2,5,1,0.29,13.3,"https://fbref.com/en/players/bb25c778/Thomas-Kraft"
"86","Oliver Baumann_2019",2019,"Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","28",1990,33,51,6,1,4,1,47.5,0.26,-2.5,-0.08,164,397,41.3,1036,191,28.8,29.3,248,39.9,39.4,441,14,3.2,58,1.76,18,"https://fbref.com/en/players/47064058/Oliver-Baumann"
"87","Gregor Kobel_2019",2019,"Hoffenheim","Bundesliga","Gregor Kobel","SUI","GK","20",1997,1,1,1,0,0,0,1.6,0.1,0.6,0.62,14,27,51.9,37,3,59.5,44.6,5,100,64.4,21,1,4.8,2,2,15.5,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
"88","Joel Coleman_2019",2019,"Huddersfield","Premier League","Joel Coleman","ENG","GK","22",1995,1,1,0,0,0,0,0.5,0.18,-0.5,-0.47,7,29,24.1,31,0,74.2,48.3,6,100,65.7,12,1,8.3,1,1,15.8,"https://fbref.com/en/players/b73e459a/Joel-Coleman"
"89","Ben Hamer_2019",2019,"Huddersfield","Premier League","Ben Hamer","ENG","GK","30",1987,6.1,21,3,2,1,1,18.5,0.37,-1.5,-0.25,57,155,36.8,151,12,73.5,48.9,52,84.6,56.3,69,5,7.2,4,0.65,12.8,"https://fbref.com/en/players/d822a850/Ben-Hamer"
"90","Jonas Lössl_2019",2019,"Huddersfield","Premier League","Jonas Lössl","DEN","GK","29",1989,30.9,54,4,1,6,0,42.1,0.27,-11.9,-0.39,275,631,43.6,880,97,52.3,40.7,223,76.7,55.6,345,24,7,29,0.94,13.3,"https://fbref.com/en/players/939bc634/Jonas-Lossl"
"91","Aleksandar Jovanović_2019",2019,"Huesca","La Liga","Aleksandar Jovanović","SRB","GK","25",1992,12,19,2,1,1,1,17.1,0.33,-0.9,-0.08,74,237,31.2,252,23,64.3,44.6,80,93.8,60.8,140,2,1.4,4,0.33,11.3,"https://fbref.com/en/players/129dd8e7/Aleksandar-Jovanovic"
"92","Roberto Santamaría_2019",2019,"Huesca","La Liga","Roberto Santamaría","ESP","GK","33",1985,20,30,6,1,0,1,33.5,0.3,4.5,0.23,219,483,45.3,418,37,78.2,51.2,165,94.5,63.4,309,5,1.6,7,0.35,11.6,"https://fbref.com/en/players/bca21ef3/Roberto-Santamaria"
"93","Axel Werner_2019",2019,"Huesca","La Liga","Axel Werner","ARG","GK","22",1996,6,16,1,0,0,1,10.9,0.31,-4.1,-0.69,39,131,29.8,112,15,65.2,43.8,65,89.2,59.1,76,0,0,1,0.17,10.5,"https://fbref.com/en/players/c0b1a6da/Axel-Werner"
"94","Samir Handanović_2019",2019,"Inter","Serie A","Samir Handanović","SVN","GK","34",1984,38,33,3,1,3,3,33.1,0.24,3.1,0.08,140,299,46.8,901,203,21,27.3,265,41.5,37.1,492,16,3.3,27,0.71,14.5,"https://fbref.com/en/players/74419746/Samir-Handanovic"
"95","Mattia Perin_2019",2019,"Juventus","Serie A","Mattia Perin","ITA","GK","25",1992,9,8,1,0,1,0,8.4,0.28,0.4,0.05,36,79,45.6,161,39,29.8,31,68,45.6,40,116,2,1.7,3,0.33,10.1,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
"96","Carlo Pinsoglio_2019",2019,"Juventus","Serie A","Carlo Pinsoglio","ITA","GK","28",1990,1,2,0,1,0,0,1,0.32,-1,-1.03,6,10,60,22,6,22.7,30.8,14,35.7,35.8,15,0,0,0,0,5,"https://fbref.com/en/players/f6a06749/Carlo-Pinsoglio"
"97","Wojciech Szczęsny_2019",2019,"Juventus","Serie A","Wojciech Szczęsny","POL","GK","28",1990,28,20,1,0,3,1,25.1,0.29,6.1,0.22,140,255,54.9,537,122,32,32.7,205,40.5,38.9,358,9,2.5,27,0.96,15.7,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
"98","Guido Guerrieri_2019",2019,"Lazio","Serie A","Guido Guerrieri","ITA","GK","22",1996,1,3,0,0,1,0,2,0.5,-1,-1,2,8,25,26,8,15.4,27.3,9,44.4,40.7,16,0,0,2,2,16,"https://fbref.com/en/players/77e401c7/Guido-Guerrieri"
"99","Silvio Proto_2019",2019,"Lazio","Serie A","Silvio Proto","BEL","GK","35",1983,2,4,0,0,0,0,4.2,0.33,0.2,0.1,17,35,48.6,42,5,50,41.4,22,63.6,47,37,1,2.7,2,1,19.2,"https://fbref.com/en/players/c8a88acd/Silvio-Proto"
"100","Thomas Strakosha_2019",2019,"Lazio","Serie A","Thomas Strakosha","ALB","GK","23",1995,35,39,5,2,4,3,43.7,0.29,7.7,0.22,173,452,38.3,848,170,39.9,34.8,243,46.9,41.4,476,11,2.3,27,0.77,15.9,"https://fbref.com/en/players/339fe0e8/Thomas-Strakosha"
"101","Iván Cuéllar_2019",2019,"Leganés","La Liga","Iván Cuéllar","ESP","GK","34",1984,33.9,38,2,2,2,1,36.9,0.31,-0.1,0,312,764,40.8,803,93,64.5,46.4,274,89.8,60.7,542,27,5,28,0.82,13.4,"https://fbref.com/en/players/75751c99/Ivan-Cuellar"
"102","Andriy Lunin_2019",2019,"Leganés","La Liga","Andriy Lunin","UKR","GK","19",1999,4.1,5,1,0,1,0,6.3,0.23,1.3,0.31,32,70,45.7,91,19,49.5,39.8,33,75.8,56.5,43,1,2.3,2,0.49,15.7,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
